"date","statement","falsehood","analysis","category","keywords"
" Sep 26","Falsely claimed Clinton has “no plan” on the economy.","Clinton has no plan on the economy","He can reasonably allege that it is a bad plan, but it exists in great detail.","Clinton's policies",""
" Sep 15","Falsely claimed Clinton has sold government favours","Clinton sold government favours","There is no evidence of this.","The Clintons' ""corruption""",""
" Sep 16","Falsely claimed he is “winning in Michigan”","Polls say he's winning in...","Polls showed him behind.","Polls",""
" Sep 20","Falsely claimed Al Wilson “wrote” the song The Snake.","Al Wilson wrote The Snake","Wilson performed it; Oscar Brown Jr. wrote it.","WTF",""
" Sep 20","Falsely claimed African-American communities are “absolutely in the worst shape that they’ve ever been in before — ever, ever, ever.”","Exaggerated black unemployment","This is not true by any measure.","African Americans/inner cities",""
" Sep 15","Falsely claimed the trade deficit with China is about $500 billion; it was about $300 billion last year","Exaggerated the trade deficit","The trade deficit with China was $367 billion last year and is significantly lower this year. The overall trade deficit in goods alone $763 billion – but there was a trade surplus in services of $227 billion, putting the total deficit well below $600 billion.","Trade/economy",""
" Sep 19","Falsely claimed the U.S. is taking back Daesh fighters who want to return home even though “we know” they have fought for Daesh, also known as ISIS and ISIL.","Said refugees are not screened","There is no evidence for this claim.","Refugees/Immigration",""
" Sep 26","Falsely characterized interviews about Iraq with Howard Stern and Neil Cavuto: “The record shows that I'm right. When I did an interview with Howard Stern, very lightly, first time anyone's asked me that, I said, very lightly, I don't know, maybe, who knows? Essentially. I then did an interview with Neil Cavuto.”","Said he ""opposed"" the Iraq War","Trump did not say “I don’t know, maybe, who knows” to Stern in 2002; in fact, he said, “Yeah, I guess so. I wish the first time it was done correctly.” In the interview with Cavuto, he did not take an actual position, saying: “Well, he has either got to do something or not do something.”","Trump's record",""
" Sep 26","Falsely asserted that Clinton has “been fighting ISIS (her) entire adult life.”","Clinton fighting ISIS her entire adult life","ISIS was founded after Clinton turned 50.","Daesh/Middle east",""
" Oct 9","Falsely accused Clinton of laughing at a 12-year-old rape victim: “Her client she represented got him off and she's seen laughing at the girl who was raped.”","Clinton laughed at a rape victim","Clinton laughed at various points of a 1980s interview about the case – but never at the victim. For example, she said that her client had passed a polygraph lie test, and she added, with a laugh, “which forever destroyed my faith in polygraphs.”","Clinton's record",""
" Oct 31","Falsely said of Barack Obama in 2008, “He essentially was talking about how corrupt the election system is in Chicago . . . and saying, ‘I’m lucky I’m from Chicago.’”","Obama said he's lucky chicago is corrupt","Obama did not say anything about being lucky to be from Chicago or lucky he was from a corrupt city. He seemed to be referring to Chicago’s past, not present corruption. His quote: “I come from Chicago. So I want to be honest. It is not as if it’s just Republicans who have monkeyed around with elections in the past. Sometimes Democrats have too.”","Rigged election",""
